Competition,home_team,away_team,match_date,Time,home_goals,away_goals,HG1st,AG1st,HG2nd,AG2nd,HGET,AGET,HGP,HGP.1,Finished,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,bet365-H,bet365-D,bet365-A,Betfair_Exch-H,Betfair_Exch-D,Betfair_Exch-A,H-Max,D-Max,A-Max,odds_home_avg,odds_draw_avg,odds_away_avg,mkt_p_home,mkt_p_draw,mkt_p_away
World Cup 2026,Mexico,South Korea,2026-06-19,02:00:00,1,0,0,0,1,0,,,,,90 minutes,8,9,4,2,9,7,0,2,0,2,0,0,0.52,0.91,2.0,3.25,4.0,2.12,3.2,4.5,2.13,3.3,4.1,2.02,3.19,3.94,0.4660007711929762,0.29508512784006646,0.23891410096695734
World Cup 2026,United States,Australia,2026-06-19,20:00:00,2,0,2,0,0,0,,,,,90 minutes,10,5,2,2,12,16,7,4,3,4,0,0,1.08,0.34,1.53,4.33,5.75,1.61,4.5,6.0,1.61,4.4,6.5,1.55,4.08,5.79,0.6069416289627637,0.23057831492457936,0.16248005611265695
World Cup 2026,Scotland,Morocco,2026-06-19,23:00:00,0,1,0,1,0,0,,,,,90 minutes,6,12,0,2,11,8,2,5,1,1,0,0,0.52,1.0,5.25,3.75,1.67,6.2,3.8,1.72,5.8,3.8,1.72,5.42,3.61,1.67,0.17400703682644322,0.26125156221587875,0.5647414009576781
World Cup 2026,Brazil,Haiti,2026-06-20,01:30:00,3,0,3,0,0,0,,,,,90 minutes,8,7,5,3,13,14,4,4,1,3,0,0,1.75,0.23,1.1,11.0,21.0,1.13,12.5,22.0,1.11,11.5,27.0,1.09,10.41,22.75,0.8675893013163626,0.0908426838073809,0.0415680148762565
World Cup 2026,Turkey,Paraguay,2026-06-20,04:00:00,0,1,0,1,0,0,,,,,90 minutes,32,7,5,2,14,15,12,0,1,1,0,1,2.17,0.33,2.1,3.3,3.6,2.14,3.4,4.0,2.1,3.45,4.0,2.02,3.32,3.72,0.464803998313964,0.2828024327090986,0.25239356897693743
World Cup 2026,Netherlands,Sweden,2026-06-20,18:00:00,5,1,2,0,3,1,,,,,90 minutes,10,16,7,8,9,12,2,5,0,3,0,0,2.6,1.01,1.7,4.0,4.75,1.76,4.1,5.2,1.71,4.1,5.0,1.68,3.96,4.68,0.5607843137254903,0.2379084967320262,0.2013071895424837
World Cup 2026,Germany,Ivory Coast,2026-06-20,21:00:00,2,1,0,1,2,0,,,,,90 minutes,16,9,7,2,5,7,8,3,0,0,0,0,1.89,1.22,1.44,4.75,6.5,1.49,5.0,7.6,1.53,4.8,7.1,1.46,4.65,6.3,0.6469458062806415,0.2031270703590831,0.14992712336027564
World Cup 2026,Ecuador,Curaçao,2026-06-21,01:00:00,0,0,0,0,0,0,,,,,90 minutes,27,10,15,3,7,10,9,0,1,5,0,0,2.84,0.5,1.14,9.0,15.0,1.18,10.0,18.0,1.17,9.5,20.0,1.15,8.15,16.47,0.8258127824243972,0.11652573003534436,0.05766148754025845
World Cup 2026,Tunisia,Japan,2026-06-21,05:00:00,0,4,0,2,0,2,,,,,90 minutes,2,11,0,5,8,15,3,5,0,0,0,0,0.04,2.13,8.5,4.5,1.4,9.2,4.5,1.48,8.5,4.6,1.48,7.69,4.3,1.43,0.12245905916232346,0.21900236394378314,0.6585385768938934
World Cup 2026,Spain,Saudi Arabia,2026-06-21,17:00:00,4,0,3,0,1,0,,,,,90 minutes,22,3,8,1,10,2,6,1,0,2,0,0,2.3,0.13,1.1,11.0,21.0,1.12,13.0,28.0,1.11,13.0,27.0,1.09,10.69,22.81,0.8697539074719488,0.08868398121089097,0.041562111317160214
World Cup 2026,Belgium,Iran,2026-06-21,20:00:00,0,0,0,0,0,0,,,,,90 minutes,23,7,7,3,7,9,4,2,1,1,1,0,1.79,0.62,1.42,4.5,8.0,1.45,4.8,9.8,1.44,4.8,8.5,1.4,4.53,7.87,0.6725214153262241,0.20784326301472708,0.11963532165904878
World Cup 2026,Uruguay,Cape Verde,2026-06-21,23:00:00,2,2,2,1,0,1,,,,,90 minutes,17,12,2,4,11,4,11,4,2,2,0,0,2.31,0.88,1.38,4.75,8.5,1.41,4.9,11.0,1.41,5.0,10.0,1.37,4.5,9.1,0.6872881071464537,0.2092410459534759,0.1034708469000705
World Cup 2026,New Zealand,Egypt,2026-06-22,02:00:00,1,3,1,0,0,3,,,,,90 minutes,11,19,5,7,14,8,4,3,2,1,0,0,1.24,1.87,5.75,3.9,1.62,6.2,4.0,1.68,6.0,4.0,1.67,5.64,3.76,1.61,0.16658044490429386,0.24987066735644076,0.5835488877392654
World Cup 2026,Argentina,Austria,2026-06-22,18:00:00,2,0,1,0,1,0,,,,,90 minutes,12,6,5,1,13,13,1,3,2,2,0,0,2.36,0.53,1.44,4.33,7.5,1.49,4.5,8.8,1.48,4.4,8.0,1.44,4.33,7.32,0.6539004282920308,0.2174634218800287,0.12863614982794047
World Cup 2026,France,Iraq,2026-06-22,22:00:00,3,0,1,0,2,0,,,,,90 minutes,19,4,5,0,8,4,4,2,0,1,0,0,2.67,0.62,1.07,12.0,26.0,1.09,15.0,48.0,1.09,14.0,36.0,1.07,12.03,28.13,0.8873256277087832,0.078922562065536,0.0337518102256807
World Cup 2026,Norway,Senegal,2026-06-23,01:00:00,3,2,1,0,2,2,,,,,90 minutes,13,16,7,4,13,5,5,4,0,0,0,0,2.19,1.71,2.4,3.5,2.88,2.6,3.5,3.0,2.5,3.5,3.05,2.39,3.39,2.85,0.3931418386903818,0.2771707948289122,0.32968736648070607
