Competition,home_team,away_team,match_date,Time,home_goals,away_goals,HG1st,AG1st,HG2nd,AG2nd,HGET,AGET,HGP,HGP.1,Finished,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Pinny-H,Pinny-D,Pinny-A,H-Max,D-Max,A-Max,odds_home_avg,odds_draw_avg,odds_away_avg,mkt_p_home,mkt_p_draw,mkt_p_away
World Cup 2018,Germany,Sweden,2018-06-23,19:00:00,2,1,0,1,2,0,,,,,90 minutes,16,8,5,6,12,13,8,3,2,2,1,0,1.48,4.73,7.62,1.51,4.95,8.6,1.47,4.62,7.45,0.6598494303313338,0.20995209146906077,0.13019847819960548
World Cup 2018,South Korea,Mexico,2018-06-23,16:00:00,1,2,0,1,1,1,,,,,90 minutes,17,13,6,5,24,7,7,5,4,0,0,0,5.53,3.82,1.73,6.57,4.1,1.75,5.56,3.82,1.71,0.17522465731376916,0.25503903001689954,0.5697363126693311
World Cup 2018,Belgium,Tunisia,2018-06-23,13:00:00,5,2,3,1,2,1,,,,,90 minutes,23,15,12,5,12,13,5,2,0,1,0,0,1.35,5.12,12.0,1.39,5.54,13.5,1.34,5.08,11.48,0.7243729877976072,0.191074764497794,0.08455224770459875
World Cup 2018,Serbia,Switzerland,2018-06-22,19:00:00,1,2,1,0,0,2,,,,,90 minutes,12,20,3,5,17,12,3,7,4,1,0,0,2.71,3.07,3.06,3.02,3.3,3.2,2.74,3.05,2.96,0.35410309310699184,0.3181122869223468,0.3277846199706614
World Cup 2018,Nigeria,Iceland,2018-06-22,16:00:00,2,0,0,0,2,0,,,,,90 minutes,16,10,4,3,9,10,6,5,1,0,0,0,2.96,3.11,2.77,3.13,3.22,2.85,2.98,3.07,2.71,0.3256994765914633,0.3161512834666322,0.35814923994190434
World Cup 2018,Brazil,Costa Rica,2018-06-22,13:00:00,2,0,0,0,2,0,,,,,90 minutes,23,4,9,0,11,11,10,1,2,1,0,0,1.21,6.75,19.5,1.24,7.15,21.9,1.21,6.7,18.82,0.8032836178404976,0.14507062352044806,0.0516457586390543
World Cup 2018,Argentina,Croatia,2018-06-21,19:00:00,0,3,0,0,0,3,,,,,90 minutes,10,15,3,5,15,23,5,2,3,4,0,0,2.11,3.22,4.22,2.17,3.54,4.4,2.1,3.27,4.04,0.46253387391550954,0.2970401025145474,0.24042602356994308
World Cup 2018,France,Peru,2018-06-21,16:00:00,1,0,1,0,0,0,,,,,90 minutes,12,10,4,2,11,15,5,3,2,2,0,0,1.63,3.99,6.46,1.65,4.1,7.5,1.62,3.84,6.58,0.5994932095777695,0.2529111977906216,0.14759559263160893
World Cup 2018,Denmark,Australia,2018-06-21,13:00:00,1,1,1,1,0,0,,,,,90 minutes,10,14,5,5,7,5,3,5,2,0,0,0,1.9,3.5,4.79,2.0,3.5,4.85,1.92,3.42,4.62,0.5058199838653913,0.2839691137489916,0.21021090238561715
World Cup 2018,Iran,Spain,2018-06-20,19:00:00,0,1,0,0,0,1,,,,,90 minutes,5,17,0,3,14,14,2,6,2,0,0,0,20.07,6.95,1.21,23.0,7.3,1.25,19.05,6.78,1.21,0.05114164473893374,0.143694444288597,0.8051639109724692
World Cup 2018,Uruguay,Saudi Arabia,2018-06-20,16:00:00,1,0,1,0,0,0,,,,,90 minutes,13,8,4,3,10,13,3,4,0,0,0,0,1.22,6.72,18.5,1.25,7.3,21.0,1.22,6.62,17.46,0.7973438702894813,0.14694252594458718,0.05571360376593168
World Cup 2018,Portugal,Morocco,2018-06-20,13:00:00,1,0,1,0,0,0,,,,,90 minutes,10,16,2,4,19,23,5,7,1,1,0,0,1.71,3.66,6.1,1.74,3.85,6.5,1.7,3.67,5.97,0.5720914201561965,0.2650014752767123,0.16290710456709115
World Cup 2018,Russia,Egypt,2018-06-19,19:00:00,3,1,0,0,3,1,,,,,90 minutes,11,13,3,1,11,10,7,4,1,1,0,0,1.94,3.7,4.24,2.1,3.72,4.7,1.96,3.51,4.29,0.49620871353296486,0.2770852075568693,0.22670607891016575
World Cup 2018,Poland,Senegal,2018-06-19,16:00:00,1,2,0,1,1,1,,,,,90 minutes,10,8,4,2,8,15,3,3,1,2,0,0,2.54,3.1,3.3,2.63,3.2,3.5,2.48,3.07,3.32,0.3914192230295397,0.31619533326164767,0.29238544370881275
World Cup 2018,Colombia,Japan,2018-06-19,13:00:00,1,2,1,1,0,1,,,,,90 minutes,8,14,3,6,15,9,3,6,2,1,1,0,1.92,3.36,4.97,1.92,3.5,5.5,1.88,3.34,5.06,0.5169519521356645,0.29097894311827827,0.1920691047460572
World Cup 2018,Tunisia,England,2018-06-18,19:00:00,1,2,1,1,0,1,,,,,90 minutes,6,17,1,7,14,8,2,7,0,1,0,0,8.6,4.21,1.5,9.5,4.4,1.53,8.47,4.21,1.48,0.11448394215169104,0.23032755107477987,0.6551885067735291
World Cup 2018,Belgium,Panama,2018-06-18,16:00:00,3,0,0,0,3,0,,,,,90 minutes,15,6,6,2,17,18,9,3,3,5,0,0,1.22,6.63,18.82,1.25,7.5,21.0,1.21,6.83,17.92,0.8034181189449203,0.14233322458614256,0.05424865646893714
World Cup 2018,Sweden,South Korea,2018-06-18,13:00:00,1,0,0,0,1,0,,,,,90 minutes,15,5,5,0,20,23,6,5,1,2,0,0,2.25,3.09,3.97,2.34,3.15,4.05,2.27,3.04,3.86,0.4283034156525802,0.31981866892478855,0.2518779154226314
World Cup 2018,Brazil,Switzerland,2018-06-17,19:00:00,1,1,1,0,0,1,,,,,90 minutes,20,6,4,2,12,19,7,2,1,3,0,0,1.49,4.45,8.1,1.52,4.64,9.0,1.47,4.38,8.2,0.6601162316251474,0.22154585855912484,0.11833790981572766
World Cup 2018,Germany,Mexico,2018-06-17,16:00:00,0,1,0,1,0,0,,,,,90 minutes,25,12,9,4,10,15,8,1,2,2,0,0,1.52,4.69,6.8,1.53,4.83,8.25,1.49,4.56,7.31,0.6533450673168705,0.2134833662943283,0.1331715663888012
World Cup 2018,Costa Rica,Serbia,2018-06-17,13:00:00,0,1,0,0,0,1,,,,,90 minutes,10,10,3,3,18,15,5,4,2,2,0,0,5.39,3.45,1.83,5.7,3.55,1.95,5.29,3.4,1.84,0.18413214189006227,0.28648795017600864,0.529379907933929
World Cup 2018,Croatia,Nigeria,2018-06-16,20:00:00,2,0,1,0,1,0,,,,,90 minutes,11,14,2,2,20,16,6,5,2,1,0,0,1.69,3.76,6.16,1.71,3.9,6.5,1.68,3.76,5.99,0.5789462860903183,0.25867812782758903,0.1623755860820926
World Cup 2018,Peru,Denmark,2018-06-16,17:00:00,0,1,0,0,0,1,,,,,90 minutes,18,10,6,3,10,18,3,7,1,2,0,0,3.67,3.15,2.33,3.9,3.2,2.4,3.68,3.09,2.31,0.2642697677518243,0.31472904379505295,0.42100118845312273
World Cup 2018,Argentina,Iceland,2018-06-16,14:00:00,1,1,1,1,0,0,,,,,90 minutes,26,9,7,3,10,15,10,2,0,0,0,0,1.33,5.44,11.98,1.36,5.65,13.0,1.33,5.31,11.04,0.7294255542324735,0.18269980925220147,0.08787463651532518
World Cup 2018,France,Australia,2018-06-16,11:00:00,2,1,0,0,2,1,,,,,90 minutes,13,4,5,1,16,19,5,1,1,3,0,0,1.28,7.15,9.91,1.29,7.5,14.0,1.26,6.99,10.6,0.7697486115353209,0.13875296860293337,0.0914984198617457
World Cup 2018,Portugal,Spain,2018-06-15,19:00:00,3,3,2,1,1,2,,,,,90 minutes,8,12,3,5,12,10,4,5,1,1,0,0,4.36,3.25,2.07,4.6,3.37,2.1,4.3,3.26,2.03,0.2253650629324906,0.29726066583119926,0.4773742712363102
World Cup 2018,Morocco,Iran,2018-06-15,16:00:00,0,1,0,0,0,1,,,,,90 minutes,13,8,3,2,22,14,5,2,1,3,0,0,2.21,3.01,4.25,2.3,3.1,4.4,2.23,2.95,4.11,0.43506421274351154,0.3288790489552646,0.23605673830122398
World Cup 2018,Egypt,Uruguay,2018-06-15,13:00:00,0,1,0,0,0,1,,,,,90 minutes,8,14,3,4,12,6,0,5,2,0,0,0,8.82,4.05,1.52,9.2,4.24,1.54,8.35,4.06,1.5,0.11596465838982405,0.2384987432401554,0.6455365983700205
World Cup 2018,Russia,Saudi Arabia,2018-06-14,16:00:00,5,0,2,0,3,0,,,,,90 minutes,13,6,7,0,22,10,6,2,1,1,0,0,1.45,4.4,9.45,1.5,4.5,9.75,1.46,4.32,8.92,0.6659385325793918,0.2250625596217389,0.10899890779886909
