Competition,home_team,away_team,match_date,Time,home_goals,away_goals,HG1st,AG1st,HG2nd,AG2nd,HGET,AGET,HGP,HGP.1,Finished,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,bet365-H,bet365-D,bet365-A,Pinny-H,Pinny-D,Pinny-A,H-Max,D-Max,A-Max,odds_home_avg,odds_draw_avg,odds_away_avg,mkt_p_home,mkt_p_draw,mkt_p_away
World Cup 2014,Australia,Spain,2014-06-23,17:00:00,0,3,0,1,0,2,,,,,90 minutes,4,11,0,8,14,9,2,6,2,1,0,0,9.0,5.5,1.36,8.59,5.63,1.37,17.0,6.0,1.5,8.1,5.28,1.37,0.1183922381200224,0.18162445620685255,0.6999833056731252
World Cup 2014,Netherlands,Chile,2014-06-23,17:00:00,2,0,0,0,2,0,,,,,90 minutes,13,7,8,1,26,14,2,7,1,1,0,0,2.75,3.6,2.6,2.79,3.63,2.59,2.8,3.85,3.1,2.65,3.48,2.62,0.3606274671117686,0.27461574363396163,0.3647567892542697
World Cup 2014,USA,Portugal,2014-06-22,23:00:00,2,2,0,1,2,1,,,,,90 minutes,15,20,10,9,11,14,6,4,1,0,0,0,4.75,4.2,1.75,5.05,4.28,1.7,5.05,4.45,1.9,4.58,4.01,1.73,0.2087881660722616,0.23846628444163545,0.552745549486103
World Cup 2014,South Korea,Algeria,2014-06-22,20:00:00,2,4,0,3,2,1,,,,,90 minutes,9,15,6,8,13,16,7,5,2,1,0,0,2.5,3.4,3.0,2.54,3.3,3.09,2.65,3.4,3.6,2.49,3.25,2.96,0.3835282204210837,0.2938416211841534,0.322630158394763
World Cup 2014,Belgium,Russia,2014-06-22,17:00:00,1,0,0,0,1,0,,,,,90 minutes,11,13,7,6,14,9,5,8,2,1,0,0,2.25,3.4,3.5,2.28,3.41,3.46,2.28,3.65,3.6,2.21,3.31,3.43,0.4325280871052662,0.28878763519717165,0.27868427769756215
World Cup 2014,Nigeria,Bosnia & Herzegovina,2014-06-21,23:00:00,1,0,1,0,0,0,,,,,90 minutes,20,18,13,10,9,7,4,4,1,1,0,0,4.5,3.6,1.91,4.35,3.75,1.91,4.5,4.0,2.3,4.21,3.61,1.89,0.2275976636121943,0.2654255301405368,0.5069768062472688
World Cup 2014,Germany,Ghana,2014-06-21,20:00:00,2,2,0,0,2,2,,,,,90 minutes,11,20,6,10,11,17,7,3,0,1,0,0,1.36,5.5,9.5,1.35,5.64,9.56,1.41,6.0,11.0,1.33,5.49,9.0,0.7194056058600763,0.1742822323850458,0.10631216175487794
World Cup 2014,Argentina,Iran,2014-06-21,17:00:00,1,0,0,0,1,0,,,,,90 minutes,19,8,9,4,8,14,10,6,0,2,0,0,1.14,9.0,23.0,1.16,8.77,21.17,1.16,9.9,26.0,1.14,8.4,20.55,0.8394975270276186,0.1139318072394625,0.04657066573291898
World Cup 2014,Honduras,Ecuador,2014-06-20,23:00:00,1,2,1,1,0,1,,,,,90 minutes,16,8,9,5,15,17,4,12,2,3,0,0,6.0,4.25,1.6,5.92,4.4,1.6,6.25,4.5,1.73,5.72,4.14,1.6,0.1678798077897853,0.23194987936173236,0.6001703128484824
World Cup 2014,Switzerland,France,2014-06-20,20:00:00,2,5,0,3,2,2,,,,,90 minutes,17,22,8,16,12,16,5,3,0,1,0,0,4.5,3.6,1.91,4.75,3.55,1.89,5.65,3.6,2.0,4.62,3.47,1.84,0.20651421548015655,0.2749555260859721,0.5185302584338713
World Cup 2014,Italy,Costa Rica,2014-06-20,17:00:00,0,1,0,1,0,0,,,,,90 minutes,10,10,6,6,10,24,4,5,1,1,0,0,1.62,4.0,6.5,1.6,4.04,6.89,1.63,4.8,9.5,1.56,4.01,6.59,0.6151008218910243,0.2392910928054858,0.14560808530348984
World Cup 2014,Japan,Greece,2014-06-19,23:00:00,0,0,0,0,0,0,,,,,90 minutes,16,9,11,5,23,18,5,7,1,4,0,1,2.5,3.4,3.0,2.54,3.47,2.96,2.54,3.7,3.2,2.38,3.33,3.06,0.4012048192771085,0.28674698795180725,0.31204819277108437
World Cup 2014,Uruguay,England,2014-06-19,20:00:00,2,1,1,0,1,1,,,,,90 minutes,10,13,6,8,17,12,7,6,1,1,0,0,3.9,3.9,1.95,3.92,3.95,1.95,4.0,4.2,2.8,3.75,3.74,1.97,0.256001501026744,0.2566859970187941,0.48731250195446196
World Cup 2014,Colombia,Ivory Coast,2014-06-19,17:00:00,2,1,0,0,2,1,,,,,90 minutes,11,15,8,12,11,14,5,5,0,2,0,0,2.05,3.6,3.8,2.03,3.66,3.98,2.1,3.66,4.2,2.02,3.49,3.8,0.47384932006088365,0.2742623571699097,0.2518883227692066
World Cup 2014,Cameroon,Croatia,2014-06-18,23:00:00,0,4,0,1,0,3,,,,,90 minutes,18,21,7,14,11,9,4,7,0,1,1,0,5.75,4.0,1.67,5.81,4.13,1.65,6.75,4.13,2.05,5.46,3.89,1.65,0.1750488860525433,0.2456984364644952,0.5792526774829615
