match_date,home_team_id,away_team_id,home_goals,away_goals,tournament,city,country,is_neutral_venue,is_friendly
2018-06-25,Saudi Arabia,Egypt,2,1,FIFA World Cup,Volgograd,Russia,True,False
2018-06-25,Spain,Morocco,2,2,FIFA World Cup,Kaliningrad,Russia,True,False
2018-06-25,Iran,Portugal,1,1,FIFA World Cup,Saransk,Russia,True,False
2018-06-26,Iceland,Croatia,1,2,FIFA World Cup,Rostov-on-Don,Russia,True,False
2018-06-26,Nigeria,Argentina,1,2,FIFA World Cup,Saint Petersburg,Russia,True,False
2018-06-26,Australia,Peru,0,2,FIFA World Cup,Sochi,Russia,True,False
2018-06-26,Denmark,France,0,0,FIFA World Cup,Moscow,Russia,True,False
2018-06-27,South Korea,Germany,2,0,FIFA World Cup,Kazan,Russia,True,False
2018-06-27,Mexico,Sweden,0,3,FIFA World Cup,Ekaterinburg,Russia,True,False
2018-06-27,Serbia,Brazil,0,2,FIFA World Cup,Moscow,Russia,True,False
2018-06-27,Switzerland,Costa Rica,2,2,FIFA World Cup,Nizhny Novgorod,Russia,True,False
2018-06-28,Japan,Poland,0,1,FIFA World Cup,Volgograd,Russia,True,False
2018-06-28,Senegal,Colombia,0,1,FIFA World Cup,Samara,Russia,True,False
2018-06-28,Panama,Tunisia,1,2,FIFA World Cup,Saransk,Russia,True,False
2018-06-28,England,Belgium,0,1,FIFA World Cup,Kaliningrad,Russia,True,False
2018-06-30,France,Argentina,4,3,FIFA World Cup,Kazan,Russia,True,False
2018-06-30,Uruguay,Portugal,2,1,FIFA World Cup,Sochi,Russia,True,False
2018-07-01,Croatia,Denmark,1,1,FIFA World Cup,Nizhny Novgorod,Russia,True,False
2018-07-01,Russia,Spain,1,1,FIFA World Cup,Moscow,Russia,False,False
2018-07-02,Brazil,Mexico,2,0,FIFA World Cup,Samara,Russia,True,False
2018-07-02,Belgium,Japan,3,2,FIFA World Cup,Rostov-on-Don,Russia,True,False
2018-07-03,Sweden,Switzerland,1,0,FIFA World Cup,Saint Petersburg,Russia,True,False
2018-07-03,Colombia,England,1,1,FIFA World Cup,Moscow,Russia,True,False
2018-07-06,Uruguay,France,0,2,FIFA World Cup,Nizhny Novgorod,Russia,True,False
2018-07-06,Brazil,Belgium,1,2,FIFA World Cup,Kazan,Russia,True,False
2018-07-07,Russia,Croatia,2,2,FIFA World Cup,Sochi,Russia,False,False
2018-07-07,Sweden,England,0,2,FIFA World Cup,Samara,Russia,True,False
2018-07-10,France,Belgium,1,0,FIFA World Cup,Saint Petersburg,Russia,True,False
2018-07-11,Croatia,England,2,1,FIFA World Cup,Moscow,Russia,True,False
2018-07-14,Belgium,England,2,0,FIFA World Cup,Saint Petersburg,Russia,True,False
2018-07-15,France,Croatia,4,2,FIFA World Cup,Moscow,Russia,True,False
